List of atest categorized lines
CVE-2021-39693           atest ForegroundModeAndActiveTest
CVE-2018-9490            m -j proxy_resolver_v8_unittest && adb sync && adb shell \ /data/nativetest64/proxy_resolver_v8_unittest/proxy_resolver_v8_unittest
CVE-2018-9471            Compile only
CVE-2021-0926            build
CVE-2021-0426            m, statsd_test, TreeHugger
CVE-2021-0427            m, statsd_test, TreeHugger
CVE-2021-0303            build, unit test and fuzz test
CVE-2019-2092            build, set up separate challenge
CVE-2020-0249            make Fixes: 154719656


List of tradefed categorized lines
CVE-2021-39630           sts-tradefed run sts-engbuild-no-spl-lock \ -m StsHostTestCases -t android.security.sts.Bug_202768292
CVE-2020-0096            run cts --test android.server.cts.StartActivityTests \ -m CtsServicesHostTestCases
CVE-2019-5018            cts-tradefed run cts -m CtsDatabaseTestCases -t android.database.sqlite.cts.SQLiteSecurityTest
CVE-2019-8457            cts-tradefed run cts -m CtsDatabaseTestCases -t android.database.sqlite.cts.SQLiteSecurityTest
CVE-2019-9936            cts-tradefed run cts -m CtsDatabaseTestCases -t android.database.sqlite.cts.SQLiteSecurityTest
CVE-2019-2104            make cts -j123 && cts-tradefed run cts-dev -m \ CtsMediaTestCases --compatibility:module-arg \ CtsMediaTestCases:include-annotation:\ android.platform.test.annotations.RequiresDevice
CVE-2019-2004            cts-tradefed run cts -m CtsSecurityBulletinHostTestCases -t android.security.cts.Poc18_12; adb shell monkey 100000
CVE-2018-9548            cts-tradefed run cts -m CtsAppSecurityHostTestCases -t android.appsecurity.cts.AppSecurityTests
CVE-2018-9469            cts-tradefed run cts -m CtsShortcutManagerTestCases -t android.content.pm.cts.shortcutmanager.ShortcutManagerFakingPublisherTest
CVE-2018-9451            run cts -m CtsAppSecurityHostTestCases \ -t android.appsecurity.cts.CorruptApkTests
CVE-2018-9338            run cts -m CtsAppSecurityHostTestCases \ -t android.appsecurity.cts.CorruptApkTests
CVE-2017-13227           cts-tradefed run commandAndExit cts-dev -m CtsAutoFillServiceTestCases -t android.autofillservice.cts.VirtualContainerActivityTest#testAppCannotFakePackageName
CVE-2017-13227           cts-tradefed run commandAndExit cts-dev -m CtsAutoFillServiceTestCases
CVE-2018-9340            run cts -m CtsAppSecurityHostTestCases \ -t android.appsecurity.cts.CorruptApkTests

List of lines categorized into generic/nondescript category
CVE-2021-0688            Switch user, ensure lockscreen comes up
CVE-2021-0521            run iorapd and check it works well.
CVE-2019-2005            - Revoked all permissions from camera - Set lock screen PIN - Opened camera app -> Camera app asks for permissions - Locked screen - Granted permission from in front of lock screen
CVE-2018-9491            CTS
CVE-2019-2174            confirm sensors initialize
CVE-2021-0438            Existing tests pass
CVE-2021-0319            ensure attached bug no longer reproduces
CVE-2021-0309            Existing CTS tests
CVE-2020-0420            ./gapit validate_gpu_profiling --os android
CVE-2020-0421            fuzzer test case
CVE-2020-0246            safe net loNumber of unique CVEs in the generic/nondescript category: 1g
CVE-2020-0412            verified command still works from shell
CVE-2019-2217            adb shell dumpsys gpu
CVE-2019-2090            SafetyNet logging (steps listed above)


List of lines categorized into the GTS category
CVE-2019-2091            com.android.server.devicepolicy.DevicePolicyManagerTest
CVE-2019-2091            com.google.android.gts.devicepolicy.DeviceOwnerTest



Number of unique CVEs containing atest information: 64
Number of unique CVEs that just state to test manually: 52
Number of unique CVEs in the PoC category: 8
Number of unique CVEs in the 'make/build' category: 13
Number of unique CVEs in the tradefed category: 13
Number of unique CVEs in the generic/nondescript category: 14
Number of unique CVEs in the GTS category: 1
Number of unique CVEs containing any test information: 172

